list size = 822
User xscvxc  changes 2007636
User Miroff  changes 560397
User siberiano  changes 437169
User msergeyv100  changes 289886
User vitstud54  changes 117943
User Kaylee  changes 99496
User AndreySmirnov  changes 98782
User whalerich  changes 98085
User Pavel Melnikov  changes 96682
User Sherper  changes 94297
User demon_h  changes 83398
User Guamo  changes 64594
User A54  changes 59169
User Antonio_92  changes 52100
User koSS_Rus  changes 44288
User oo-O-oo  changes 42525
User ONT  changes 42140
User Magomogo  changes 40047
User yohanson  changes 32299
User alex_hitman  changes 27111
User mike_lyulyukin  changes 26617
User maximaximax  changes 26483
User Географ  changes 25684
User velonavt  changes 24862
User MAS  changes 21968
User rockcreek  changes 20625
User Павел Яринюк  changes 20196
User VlIvYur  changes 19263
User katpatuka  changes 18048
User Nikolaev  changes 17003
User ilya3l  changes 16176
User pruosm  changes 14967
User ImmortAlex  changes 13316
User Ratty  changes 12512
User serhod  changes 12436
User afonin  changes 12367
User ThaJk  changes 11919
User vanomel  changes 11102
User Karaban2008  changes 10727
User andrewK  changes 10010
User malic  changes 10002
User Басмач  changes 9445
User vanchester  changes 6418
User SunWind1076  changes 6052
User F1ex  changes 6023
User PARKER1979  changes 5813
User Vodila_55  changes 5512
User Takuto  changes 5322
User usama  changes 5285
User ordorub  changes 5229

